Metric,Category,Subcategory,Count,Strict Accuracy,Loose Accuracy
unary,Points-unary,Existence,109,0.5504587155963303,0.5504587155963303
unary,Points-unary,Quantity,115,0.5826086956521739,0.5826086956521739
unary,Points-unary,Size Property,0,-,-
unary,Line Segment-unary,Existence,110,0.6363636363636364,0.6363636363636364
unary,Line Segment-unary,Quantity,102,0.49019607843137253,0.49019607843137253
unary,Line Segment-unary,Size Property,115,0.591304347826087,0.591304347826087
unary,Angle-unary,Existence,100,0.49,0.49
unary,Angle-unary,Quantity,93,0.23655913978494625,0.23655913978494625
unary,Angle-unary,Size Property,135,0.5333333333333333,0.5333333333333333
unary,Triangle-unary,Existence,100,0.51,0.51
unary,Triangle-unary,Quantity,100,0.25,0.25
unary,Triangle-unary,Size Property,58,0.3448275862068966,0.3448275862068966
unary,Circle-unary,Existence,100,0.48,0.48
unary,Circle-unary,Quantity,94,0.5957446808510638,0.5957446808510638
unary,Circle-unary,Size Property,43,0.32558139534883723,0.32558139534883723
unary,Polygon-unary,Existence,59,0.6949152542372882,0.6949152542372882
unary,Polygon-unary,Quantity,23,0.34782608695652173,0.34782608695652173
unary,Polygon-unary,Size Property,0,-,-
unary,Arc-unary,Existence,40,0.325,0.325
unary,Arc-unary,Quantity,9,0.6666666666666666,0.6666666666666666
unary,Arc-unary,Size Property,5,0.8,0.8
unary,Sector-unary,Existence,18,0.4444444444444444,0.4444444444444444
unary,Sector-unary,Quantity,7,0.5714285714285714,0.5714285714285714
unary,Sector-unary,Size Property,1,0.0,0.0
binary,Points,Points,107,0.42990654205607476,0.42990654205607476
binary,Points,LineSegment,104,0.4423076923076923,0.4423076923076923
binary,Points,Angle,128,0.3671875,0.3671875
binary,Points,Triangle,101,0.5742574257425742,0.5742574257425742
binary,Points,Circle,100,0.48,0.48
binary,Points,Polygon,106,0.6037735849056604,0.6037735849056604
binary,LineSegment,LineSegment,113,0.168141592920354,0.168141592920354
binary,LineSegment,Angle,101,0.3465346534653465,0.3465346534653465
binary,LineSegment,Triangle,101,0.49504950495049505,0.49504950495049505
binary,LineSegment,Circle,120,0.375,0.375
binary,LineSegment,Polygon,63,0.49206349206349204,0.49206349206349204
binary,Angle,Angle,107,0.45794392523364486,0.45794392523364486
binary,Angle,Triangle,99,0.42424242424242425,0.42424242424242425
binary,Angle,Circle,94,0.4787234042553192,0.4787234042553192
binary,Angle,Polygon,71,0.4788732394366197,0.4788732394366197
binary,Triangle,Triangle,96,0.4583333333333333,0.4583333333333333
