Metric,Category,Subcategory,Count,Strict Accuracy,Loose Accuracy
unary,Points-unary,Existence,109,0.926605504587156,0.926605504587156
unary,Points-unary,Quantity,115,0.3826086956521739,0.3826086956521739
unary,Points-unary,Size Property,0,-,-
unary,Line Segment-unary,Existence,110,0.6181818181818182,0.6181818181818182
unary,Line Segment-unary,Quantity,102,0.3431372549019608,0.3431372549019608
unary,Line Segment-unary,Size Property,115,0.4782608695652174,0.4782608695652174
unary,Angle-unary,Existence,100,0.64,0.64
unary,Angle-unary,Quantity,93,0.3333333333333333,0.3333333333333333
unary,Angle-unary,Size Property,135,0.4888888888888889,0.4888888888888889
unary,Triangle-unary,Existence,100,0.56,0.56
unary,Triangle-unary,Quantity,100,0.3,0.3
unary,Triangle-unary,Size Property,58,0.3275862068965517,0.3275862068965517
unary,Circle-unary,Existence,100,0.62,0.62
unary,Circle-unary,Quantity,94,0.46808510638297873,0.46808510638297873
unary,Circle-unary,Size Property,43,0.3023255813953488,0.3023255813953488
unary,Polygon-unary,Existence,59,0.6949152542372882,0.6949152542372882
unary,Polygon-unary,Quantity,23,0.30434782608695654,0.30434782608695654
unary,Polygon-unary,Size Property,0,-,-
unary,Arc-unary,Existence,40,0.575,0.575
unary,Arc-unary,Quantity,9,0.0,0.0
unary,Arc-unary,Size Property,5,0.6,0.6
unary,Sector-unary,Existence,18,0.6666666666666666,0.6666666666666666
unary,Sector-unary,Quantity,7,0.14285714285714285,0.14285714285714285
unary,Sector-unary,Size Property,1,0.0,0.0
binary,Points,Points,107,0.4392523364485981,0.4392523364485981
binary,Points,LineSegment,104,0.3173076923076923,0.3173076923076923
binary,Points,Angle,128,0.5390625,0.5390625
binary,Points,Triangle,101,0.36633663366336633,0.36633663366336633
binary,Points,Circle,100,0.41,0.41
binary,Points,Polygon,106,0.3018867924528302,0.3018867924528302
binary,LineSegment,LineSegment,113,0.5663716814159292,0.5663716814159292
binary,LineSegment,Angle,101,0.6138613861386139,0.6138613861386139
binary,LineSegment,Triangle,101,0.44554455445544555,0.44554455445544555
binary,LineSegment,Circle,120,0.43333333333333335,0.43333333333333335
binary,LineSegment,Polygon,63,0.5396825396825397,0.5396825396825397
binary,Angle,Angle,107,0.5420560747663551,0.5514018691588785
binary,Angle,Triangle,99,0.42424242424242425,0.42424242424242425
binary,Angle,Circle,94,0.5425531914893617,0.5425531914893617
binary,Angle,Polygon,71,0.5211267605633803,0.5211267605633803
binary,Triangle,Triangle,96,0.3854166666666667,0.3854166666666667
binary,Triangle,Circle,108,0.3611111111111111,0.3611111111111111
binary,Triangle,Polygon,85,0.47058823529411764,0.47058823529411764
binary,Circle,Circle,26,0.46153846153846156,0.46153846153846156
binary,Circle,Polygon,85,0.21176470588235294,0.21176470588235294
binary,Polygon,Polygon,46,0.2391304347826087,0.2391304347826087
answer_type,choose,-,2703,0.49352571217166114,0.4938956714761376
answer_type,free-form,-,794,0.380352644836272,0.380352644836272
special_case,wrongprerequisite,-,135,0.007407407407407408,0.5333333333333333
special_case,not given,-,84,0.38095238095238093,0.39285714285714285
special_case,normal,-,3413,0.46996777029006737,0.46996777029006737
id,1,-,109,0.926605504587156,0.926605504587156
id,2,-,115,0.3826086956521739,0.3826086956521739
id,3,-,69,0.7101449275362319,0.7101449275362319
id,4,-,41,0.4634146341463415,0.4634146341463415
id,5,-,102,0.3431372549019608,0.3431372549019608
id,6,-,115,0.4782608695652174,0.4782608695652174
id,7,-,100,0.64,0.64
id,8,-,75,0.3333333333333333,0.3333333333333333
id,9,-,87,0.4482758620689655,0.4482758620689655
id,10,-,48,0.5625,0.5625
id,11,-,100,0.56,0.56
id,12,-,47,0.3404255319148936,0.3404255319148936
id,13,-,53,0.2641509433962264,0.2641509433962264
id,14,-,23,0.391304347826087,0.391304347826087
id,15,-,35,0.2857142857142857,0.2857142857142857
id,16,-,61,0.5245901639344263,0.5245901639344263
id,17,-,39,0.7692307692307693,0.7692307692307693
id,18,-,43,0.627906976744186,0.627906976744186
id,19,-,35,0.2857142857142857,0.2857142857142857
id,20,-,16,0.4375,0.4375
id,21,-,43,0.3023255813953488,0.3023255813953488
id,22,-,59,0.6949152542372882,0.6949152542372882
id,23,-,13,0.23076923076923078,0.23076923076923078
id,24,-,40,0.575,0.575
id,25,-,9,0.0,0.0
id,26,-,5,0.6,0.6
